role,name,email,password,mobNumber,roleAssingedTo
user,201PT037,201PT037@gmail.com,Password@1234,9999999999,201PT037
user,201OP037,201OP037@gmail.com,Password@1234,9999999999,201OP037
user,201HE044,201HE044@gmail.com,Password@1234,9999999999,201HE044
user,201FY037,201FY037@gmail.com,Password@1234,9999999999,201FY037
user,201ME066,201ME066@gmail.com,Password@1234,9999999999,201ME066
user,201PT066,201PT066@gmail.com,Password@1234,9999999999,201PT066
user,201SU065,201SU065@gmail.com,Password@1234,9999999999,201SU065
user,201SU057,201SU057@gmail.com,Password@1234,9999999999,201SU057
user,201HC028,201HC028@gmail.com,Password@1234,9999999999,201HC028
user,201ME025,201ME025@gmail.com,Password@1234,9999999999,201ME025
user,201ME008,201ME008@gmail.com,Password@1234,9999999999,201ME008
user,201AN065,201AN065@gmail.com,Password@1234,9999999999,201AN065
user,201ME051,201ME051@gmail.com,Password@1234,9999999999,201ME051
user,201CA030,201CA030@gmail.com,Password@1234,9999999999,201CA030
user,201CA019,201CA019@gmail.com,Password@1234,9999999999,201CA019
user,201CA003,201CA003@gmail.com,Password@1234,9999999999,201CA003
user,201CA035,201CA035@gmail.com,Password@1234,9999999999,201CA035
user,201CA002,201CA002@gmail.com,Password@1234,9999999999,201CA002
user,201CA048,201CA048@gmail.com,Password@1234,9999999999,201CA048
user,201CA065,201CA065@gmail.com,Password@1234,9999999999,201CA065
user,201CA061,201CA061@gmail.com,Password@1234,9999999999,201CA061
user,202TR025,202TR025@gmail.com,Password@1234,9999999999,202TR025
user,201TR007,201TR007@gmail.com,Password@1234,9999999999,201TR007
user,201TR023,201TR023@gmail.com,Password@1234,9999999999,201TR023
user,201TR006,201TR006@gmail.com,Password@1234,9999999999,201TR006
user,201TR065,201TR065@gmail.com,Password@1234,9999999999,201TR065
user,201TR037,201TR037@gmail.com,Password@1234,9999999999,201TR037
user,203TRSE037,203TRSE037@gmail.com,Password@1234,9999999999,203TRSE037
user,203TRSE066,203TRSE066@gmail.com,Password@1234,9999999999,203TRSE066
user,203TRTM037,203TRTM037@gmail.com,Password@1234,9999999999,203TRTM037
user,203TRTM066,203TRTM066@gmail.com,Password@1234,9999999999,203TRTM066
user,202TR043,202TR043@gmail.com,Password@1234,9999999999,202TR043
user,203TRBV037,203TRBV037@gmail.com,Password@1234,9999999999,203TRBV037
user,203TRBV066,203TRBV066@gmail.com,Password@1234,9999999999,203TRBV066
user,203TRFA037,203TRFA037@gmail.com,Password@1234,9999999999,203TRFA037
user,203TRFA066,203TRFA066@gmail.com,Password@1234,9999999999,203TRFA066
user,202TRSE037,202TRSE037@gmail.com,Password@1234,9999999999,202TRSE037
user,202TRTM037,202TRTM037@gmail.com,Password@1234,9999999999,202TRTM037
user,203OP031,203OP031@gmail.com,Password@1234,9999999999,203OP031
user,203FY037,203FY037@gmail.com,Password@1234,9999999999,203FY037
user,203FY066,203FY066@gmail.com,Password@1234,9999999999,203FY066
user,203ME037,203ME037@gmail.com,Password@1234,9999999999,203ME037
user,203ME066,203ME066@gmail.com,Password@1234,9999999999,203ME066
user,203CA037,203CA037@gmail.com,Password@1234,9999999999,203CA037
user,203CA066,203CA066@gmail.com,Password@1234,9999999999,203CA066
user,203II037,203II037@gmail.com,Password@1234,9999999999,203II037
user,203PT037,203PT037@gmail.com,Password@1234,9999999999,203PT037
user,203PT066,203PT066@gmail.com,Password@1234,9999999999,203PT066
user,203II066,203II066@gmail.com,Password@1234,9999999999,203II066
user,203OPFA037,203OPFA037@gmail.com,Password@1234,9999999999,203OPFA037
user,203OPFA066,203OPFA066@gmail.com,Password@1234,9999999999,203OPFA066
user,202FY037,202FY037@gmail.com,Password@1234,9999999999,202FY037
user,202ME037,202ME037@gmail.com,Password@1234,9999999999,202ME037
user,202PT037,202PT037@gmail.com,Password@1234,9999999999,202PT037
user,203HR031,203HR031@gmail.com,Password@1234,9999999999,203HR031
user,203HR069,203HR069@gmail.com,Password@1234,9999999999,203HR069
user,203TASC037,203TASC037@gmail.com,Password@1234,9999999999,203TASC037
user,203TASC066,203TASC066@gmail.com,Password@1234,9999999999,203TASC066
user,203TABC037,203TABC037@gmail.com,Password@1234,9999999999,203TABC037
user,203TABC066,203TABC066@gmail.com,Password@1234,9999999999,203TABC066
user,203HSSC037,203HSSC037@gmail.com,Password@1234,9999999999,203HSSC037
user,203HSBC066,203HSBC066@gmail.com,Password@1234,9999999999,203HSBC066
user,203HSBC037,203HSBC037@gmail.com,Password@1234,9999999999,203HSBC037
user,203HSSC066,203HSSC066@gmail.com,Password@1234,9999999999,203HSSC066
user,203HRFA037,203HRFA037@gmail.com,Password@1234,9999999999,203HRFA037
user,203HRFA066,203HRFA066@gmail.com,Password@1234,9999999999,203HRFA066
user,203LD037,203LD037@gmail.com,Password@1234,9999999999,203LD037
user,203LD066,203LD066@gmail.com,Password@1234,9999999999,203LD066
user,203PC037,203PC037@gmail.com,Password@1234,9999999999,203PC037
user,203PC066,203PC066@gmail.com,Password@1234,9999999999,203PC066
user,203TL037,203TL037@gmail.com,Password@1234,9999999999,203TL037
user,203TL066,203TL066@gmail.com,Password@1234,9999999999,203TL066
user,202HR037,202HR037@gmail.com,Password@1234,9999999999,202HR037
user,201TA037,201TA037@gmail.com,Password@1234,9999999999,201TA037
user,201HS037,201HS037@gmail.com,Password@1234,9999999999,201HS037
user,201HP037,201HP037@gmail.com,Password@1234,9999999999,201HP037
user,203FP037,203FP037@gmail.com,Password@1234,9999999999,203FP037
user,203FP066,203FP066@gmail.com,Password@1234,9999999999,203FP066
user,203CM037,203CM037@gmail.com,Password@1234,9999999999,203CM037
user,203CM066,203CM066@gmail.com,Password@1234,9999999999,203CM066
user,203AR037,203AR037@gmail.com,Password@1234,9999999999,203AR037
user,203AR005,203AR005@gmail.com,Password@1234,9999999999,203AR005
user,203AR066,203AR066@gmail.com,Password@1234,9999999999,203AR066
user,203AP037,203AP037@gmail.com,Password@1234,9999999999,203AP037
user,203AP005,203AP005@gmail.com,Password@1234,9999999999,203AP005
user,203AP066,203AP066@gmail.com,Password@1234,9999999999,203AP066
user,203FA031,203FA031@gmail.com,Password@1234,9999999999,203FA031
user,203FA037,203FA037@gmail.com,Password@1234,9999999999,203FA037
user,201FC037,201FC037@gmail.com,Password@1234,9999999999,201FC037
user,201FC066,201FC066@gmail.com,Password@1234,9999999999,201FC066
user,202FA037,202FA037@gmail.com,Password@1234,9999999999,202FA037
user,202FA066,202FA066@gmail.com,Password@1234,9999999999,202FA066
user,201SA066,201SA066@gmail.com,Password@1234,9999999999,201SA066
user,201SR066,201SR066@gmail.com,Password@1234,9999999999,201SR066
user,201SA037,201SA037@gmail.com,Password@1234,9999999999,201SA037
user,101SA021,101SA021@gmail.com,Password@1234,9999999999,101SA021
user,102SA021,102SA021@gmail.com,Password@1234,9999999999,102SA021
user,104SA021,104SA021@gmail.com,Password@1234,9999999999,104SA021
user,203SM031,203SM031@gmail.com,Password@1234,9999999999,203SM031
user,203SA037,203SA037@gmail.com,Password@1234,9999999999,203SA037
user,203MK037,203MK037@gmail.com,Password@1234,9999999999,203MK037
user,203SR037,203SR037@gmail.com,Password@1234,9999999999,203SR037
user,203SR066,203SR066@gmail.com,Password@1234,9999999999,203SR066
user,203CS037,203CS037@gmail.com,Password@1234,9999999999,203CS037
user,203CS066,203CS066@gmail.com,Password@1234,9999999999,203CS066
user,203CT066,203CT066@gmail.com,Password@1234,9999999999,203CT066
user,203PS066,203PS066@gmail.com,Password@1234,9999999999,203PS066
user,203DM037,203DM037@gmail.com,Password@1234,9999999999,203DM037
user,203DM066,203DM066@gmail.com,Password@1234,9999999999,203DM066
user,203OM037,203OM037@gmail.com,Password@1234,9999999999,203OM037
user,203OM066,203OM066@gmail.com,Password@1234,9999999999,203OM066
user,203CN018,203CN018@gmail.com,Password@1234,9999999999,203CN018
user,203CN029,203CN029@gmail.com,Password@1234,9999999999,203CN029
user,203CN037,203CN037@gmail.com,Password@1234,9999999999,203CN037
user,203PU037,203PU037@gmail.com,Password@1234,9999999999,203PU037
user,203PU066,203PU066@gmail.com,Password@1234,9999999999,203PU066
user,203PM037,203PM037@gmail.com,Password@1234,9999999999,203PM037
user,203PM066,203PM066@gmail.com,Password@1234,9999999999,203PM066
user,202SR037,202SR037@gmail.com,Password@1234,9999999999,202SR037
user,202SA037,202SA037@gmail.com,Password@1234,9999999999,202SA037
user,203CC066,203CC066@gmail.com,Password@1234,9999999999,203CC066
user,203CC037,203CC037@gmail.com,Password@1234,9999999999,203CC037
